ID	ENGLISH	POS GLOSS
383	alumnus (n.)	sianginn i a rak cawngmi siangngakchia
384	always (adv.)	zungzal.
385	am (v.)	1. um; e.g. I am in the house = Inn chungah ka um; 2. si; e.g. I am a student = Siangngakchia ka si.
386	amalgamate (v.)	fonh, cawh
387	amass (v.)	ngeih luaimai, fonh chap lengmang
388	amateur (n.)	a thiam a tling deuh rih lomi ; tangka hmuhnak ah si loin i nuamhnak caah lente aa celhmi
389	amaze (v.)	khuaruahhar; e.g. I was amazed by his skill = A thiamnak nih ka khuaruah a ka harter.
390	ambassador (n.)	ram pakhat ai awhtu caah cu ram nih ram dang i an thlahmi
391	ambiguity (n.)	a sullam a fiang lomi , a sullam pahnih i lak khawhmi
392	ambiguous (adj.)	a sullam a fiang lomi
393	ambition (n.)	cung kai duhnak lungthin
394	ambitious (adj.)	cung kai duhnak lungthin a ngeimi
395	ambivalent (adj.)	Aa ralkahmi, sullam pahnih a ngei khomi bia.
396	ambulance (n.)	mizaw phorhnak mawttawka
397	ambush (n.)	lamhruang ah , lam i rak bawh i nam
398	ameliorate (v.)	tthatter deuh , dinter deuh
399	amen (interj.)	cu bantukin si ko seh, tinak ca i thlacam donghnak i rak chimmi
400	amend (v.)	tthatter , remh
401	amends (n.)	rulhnak ca i pekmi thil, a hlan i rak tuah sualmi hun remh than
402	amiable (adj.)	lungthin ttha a ngeimi , hawi komh khawhnak lungthin negih
403	amicable (adj.)	hawi he i rem khawh.
404	amid (prep.)	chungah , lakah
405	amiss (adv.)	ningcang loin um, i palh; e.g. From his angry looks, we knew something had gone amiss = A thinhun hmai kan hmuh tikah, zeidik ningcang loin a um ti kha kan hngalh.
406	ammunition (n.)	ral hriamnam
407	amnesty (n.)	cozah doh ruangah thong tlami ngaihthiamnak
408	amoeba (n.)	thisen thlet zawtnak rungrul
409	among (prep.)	lakah. chungah
410	amount (n.)	cu zat kha zat timi; e.g. A large amount of money = Tangka tampi; e.g. A small amount of money = Tangka tlawmte.
411	amphibian (n.)	ti chung zong tlang cung zong i a um khomi saram; e.g. utlak; ti cung zong vawlei cung zong i aa din khomi vanlawng
412	ample (adj.)	a ngan , a lian , a kau , a za
413	amplify (v.)	tthanter , karhter , nganter
414	amputate (v.)	zawtnak asiloah hma ruangah kutke tan
415	amulet (n.)	khuachia tih , uilong
416	amuse (v.)	nihter , nuamhter
417	amusement (n.)	nihchuahternak , nihchuahnak , nuamhnak
418	an (a) (art.)	pakhat, cafang aw (vowel) he lawng hmanmi; e.g. An airplane = Vanlawng pakhat; zong a.
419	anachronism (n.)	thil hlun a si cang , caan a phan ti lo , caan he aa tlak ti lo
420	anesthesia (n.)	U.S. fah theih lonak si.
421	anaesthesia - British. fah theih lonak si.
422	analgesic (n.)	fah damternak si.
423	analogous (adj.)	aa lo
424	analogy (n.)	tahchunhnak, an i lawhnak zohtinak
425	analyse (v.)	British. cheu cikcek hnu in ttha tein zoh kherhlai.
426	analysis (n.)	ttha tein zoh cikcek
427	analytic (adj.)	thil umtuning ttha tein a kherhlai khomi analyze - U.S. cheu cikcek hnu in ttha tein zoh kherhlai.
428	anarchy (n.)	cozah nih uk khawh loin , i tuaibur in le ningcang loin um
429	anathema (n.)	chiatseih, duh lo tuk lehpekmi.
430	anatomy (n.)	pumchung i thi le sa le ruh tehna an umtuning cawnak
431	ancestor (n.)	hringsortu
432	anchor (n.)	thir cangai
433	ancient (adj.)	hlan liopi , a hlun ngaimi
434	and (conj.)	le; e.g. You and I = Nangmah le keimah
435	anecdote (n.)	ngaihnuammi tuanbia tawite
436	anemia (n.)	thider zawtnak
437	angel (n.)	vancungmi
438	anger (n.)	thinhunnak
439	angle (n.)	1. kil, innkil, vamkil; 2. hmuhning; e.g. From my angle = Kei ka hmuhning ah.
440	Anglican (n., prop.)	Church of England Khrihfa.
441	Anglo (n., prop.)	Mirang le a dang miphun pakhat aa cawhmi, Mirang le miphun dang pakhat hrawm in tuahmi.
442	angry (adj.)	thinhun
443	anguish (n.)	fakpi lungretheihnak
444	animal (n.)	saram
445	animate (adj.)	nunnak a ngeimi; e.g. animated conversation = lungtho ngaiin bia i ruahmi
446	animate (v.)	nunnak pek , lungtho ngai i chimmi
447	animism (n.)	rai biaknak, khuachia biaknak
448	animosity (n.)	i huatnak , i ralnak
449	ankle (n.)	fengbeo
450	annals (n.)	kum khat hnu kum khat in thil thar an hmuhmi tehna an ttial lengmangnak ca, tuanbia
451	annex (v., n.)	fonh, thil hme deuh thil ngan deuh i hei fonhmi khi, ram dang pakhat va tei i mah ram i fonh.
452	annihilate (v.)	hrawh dih cikcek , hloh
453	anniversary (n.)	camphak ni
454	annotation (n.)	fianternak , a tling lomi chapnak
455	announce (v.)	thanh , zapi theihter
456	announcement (n.)	thanhnak , zapi theihternak
457	announcer (n.)	thanhtu, zapi theihtertu, radio in thawng thanhtu.
458	annoy (v.)	ing puanter , thinhunter
459	annual (adj.)	kumfate in a ummi
460	annul (v.)	hrawh , dongther
461	anoint (v.)	chiti thuh
462	anonymous (adj.)	min hngalh lomi
463	another (adj.)	a dang pakhat
464	answer (n.)	lehnak
465	answer (v.)	leh , biachan
466	ant (n.)	hngerhte
467	antagonism (n.)	i ralnak , i dohnak , i huatnak
468	antagonist (n.)	ral , pakhat le pakhat aa ralmi
469	Antarctic (n., prop.)	Thlanglei Pole hrawng ram, Antaktik.
470	ante (pref.)	hlanah; e.g. Antedeluvian = Buanchukcho hlan
471	anthem (n.)	hlaremh ttha.
472	anthill (n.)	chuntlung
473	anthropoid (n.)	minung he aa lomi saram; e.g. zawng, ngau
474	anthropology (n.)	minung chuahkehnak kong cawnnak
475	anti (pref.)	doh
476	antiaircraft (n.)	vanlawng kahnak meithal
477	antibiotic (n.)	zawtnak rungrul thahnak si
478	Antichrist (n., prop.)	Khrih dotu.
479	anticipate (v.)	rak i ruah chung; e.g. We anticipate good crops this year = Tukum cu rawl kan ngei lai tiah kan rak i ruah chung.
480	anticlimax (n.)	ttum , ruah hleng
481	antidote (n.)	sivai thahnak si , sidin sual le si kah sual tik i hman zokzokmi
482	antipathy (n.)	pakhat le pakhat i huatnak , ruahnak i khah lonak
483	antique (n.)	hlanlio thil, thil hlun; e.g. He is a collector of antiques = Thil hlun khawmtu a si.
484	antiquity (n.)	hlanliopi caan
485	antiseptic (n., adj.)	hma por lonak si.
486	antitank (n.)	Thengh kahnak meithal
487	antithesis (n.)	biachimmi hun alnak bia
488	antitoxin (n.)	sivai a that khotu si, rittertu sivai thattu si
489	antler (n.)	nengpi, a ki a hreu churmi
490	antonym (n.)	sullam, aa ralchanhmi bia; e.g. a nak le a rang, a niam le a sang. Zoh opposite.
491	anus (n.)	tol , tawka
492	anvil (n.)	so dennak lung
493	anxiety (n.)	lungretheihnak , hmailei thil kong lungretheihnak
494	anxious (adj.)	1. lungreithei in um; e.g. He is anxious about his health = A ngandamnak kong ah lung rethei in a um; 2. fak piin duh; e.g. He is anxious to meet you = Ton an duh ngaingai.
495	anxiously (adv.)	lungrethei ngaiin
496	any (adj.)	1. zeizat ti set a um lomi; e.g. Do you have any money = Tangka zeital na ngei maw? 2. kha set ti theng um lomi; e.g. Take any book you like = Na duhmi cauk paoh kha i lak; 3. tlawmpal in; e.g. Do you want any cream in your coffee = Na kawfi chungah cawhnuk kham tlawmpal in na duh maw? 4. zeipaoh; e.g. He can answer any question = Biahalnak zeipaoh a leh khawh.
497	any (adv.)	hlei maw; e.g. Is the patient any better = Mizaw cu a ttha deuh hlei maw?
498	anybody (n., pron.)	ahopaoh.
499	anyhow (adv.)	a zeitipaoh a si ah, zeitipaoh in
500	anyone (pron.)	ahopaoh, mi zeipaoh
501	anyway (adv.)	tthiamtthiam ko, zei ti paoh in
502	anywhere (adv.)	khuazeihmanh ah, khoika paoh ah
503	apart (adv.)	hmun dangdang i um, karlak hlat; e.g. The two houses are one mile apart = Inn pahnih hna kha khan khat in an i hlat.
504	apartheid (n.)	miphun thleidan in rianttuan, phunkhat khat tang chiah
505	apartment (n.)	inn pakhat chung i a ummi dal , umnak i rak hman ciami
506	ape (n.)	zawng ngan phun
507	ape (v.)	umtu khuasakning nawlcawn
508	apocalypse (n.)	caan donghnak i thil um ding phuanmi
509	Apollo (n., prop.)	Grikmi Pathian, vancung uktu a si tiah an zumhmi arfi pakhat min.
510	apologetics (n.)	thil pakhatkhat a herhnak kong i chimchung; thil pakhatkhat fianternak
511	apologize (v.)	ngaihthiam hal , ka palh ti i chim
512	apology (n.)	ngaihthiam halnak
513	appall (v., adj.)	a chia lei in khuaruahhar in um, khuaruahharter, lungdonghter; e.g. Her conduct appalled me = A umtu nih ka khuaruah a ka harter, ka lung a ka donghter.
514	apparatus (n.)	thilri; e.g. We have no heating apparatus = Tisa lumnak thilri kan ngei lo.
515	apparel (n.)	thilthuam
516	apparent (adj.)	a fiang, fiangin a lang
517	apparently (adv.)	a leng zohnak i a hman ko a lomi; e.g. Apparently they are good friends = A leng zohnak ahcun hawi ttha an si ko.
518	appeal (v.)	1. nawl; e.g. People appealed to us to help the poor = Misifak bawmh kha an kan nawl; 2. mi lungthin lak khawh; e.g. His ideas do not appeal to young people = A ruahnak nih mino cu an lungthin a la kho hna lo; 3.azukhan; e.g. He appealed to a higher court = Biaceihnak zung sang deuh ah azu a khan.
519	appear (v.)	1. mithmai i hung langh; e.g. He appears to be happy = Lunglawm in a mithmai a lang; 2. a hung chuak; e.g. He appeared from the jungle = Ramlak in a hung chuak; 3. zapi hmai a hung chuah
520	appearance (n.)	langhning, muisam umtuning
521	appease (v.)	daihter , remter , a thin a hungmi va hlemh , va nawl
522	append (v.)	chapchih , thlaih
523	appendicitis (n.)	ril fonnghlei hmaat zawtnak
524	appendix (n.)	1. ril fonghlei; 2. thlaihhleimi
525	appetite (n.)	rawl duhnak , ka thawtnak
526	applaud (v.)	thangtthat , kut benghpiak
527	applause (n.)	thangtthatnak kut bengpiaknak
528	apple (n.)	epal thei
529	appliances (n.)	hmanmi thilri; e.g. elektik thilri tehna
530	application (n.)	1. sohluah; 2. hmannak, thilri hmannak
531	apply (v.)	1. hman; e.g. You must apply your skill in your work = Na thiamnak kha na rian ah na hman lai; 2. thuh, boih, si thuh; 3. rian sok
532	appoint (v.)	rian pek
533	appointee (n.)	rian pekmi
534	appointment (n.)	rian peknak
535	appraisal (n.)	a man tuaknak , mi khingthlainak
536	appraise (v.)	a man tuak
537	appreciate (v.)	1. a ttha rak ti, a tthatnak rak hngalh; 2. rak lawmh; 3. rak hngalhpiak
538	apprehend (v.)	1. tlaih; e.g. The police apprehended the criminal = Palik nih misualpa kha an tlaih; 2. hngalh; e.g. He apprehends what he reads = A relmi kha a hngalh.
539	apprehension (n.)	1. ttihnak; 2. hngalhnak
540	apprehensive (adj.)	ttih ngai, thinphang ngai i um
541	apprentice (n.)	rian thawknak i a cawngpahmi
542	approach (v.)	1. fuh; e.g. The car approached the town = Mawttawka nih khuapi kha a fuh; 2. fuhpanh, nawlpat
543	approachable (adj.)	ton fawimi, hawikom ttha
544	appropriate (adj.)	aa tlakmi, aa rupmi; e.g. He made a speech appropriate to the occasion = A caan le a hmun he aa tlakin bia a chim.
545	appropriate (v.)	hman awk ding i tangka chiah; e.g. The government appropriated money for the new school = Acozah nih sianginn thar ca hman awkah tangka an chiah.
546	appropriation (n.)	1. tangka hman awk i chiahmi; 2. mi thil ngeih ciami nawl ngeitupa nih va chuh
547	approval (n.)	hnatlakpinak
548	approve (v.)	hnatlakpi
549	approximate (adj.)	hrawng; e.g. What is the approximate amount of money you need = Tagka zeizat hrawng dah na herh?
550	April (n., prop.)	Thla linak thla, April thla.
551	April Fool (n., prop.)	April nikhat ni ah pakhat le pakhat lentecelhnak ca i i deh.
552	apron (n.)	hni le tawhrolh hnawn lo dingin a lengin i fenh thuatmi
553	apt (adj.)	1. sual lai caah; e.g. Please remind me for I am apt to forget = Ka philh sual lai caah ka chim tthan te; 2. khulrang tein a hngal khomi; e.g. The girl is an apt pupil = Hi ngakchianu hi khulrang tein a hngal khomi a si; 3. aa tlak; e.g. He made apt remarks = Aa tlakmi biatete a chim.
554	aptitude (n.)	thiam ngai khawhnak le hngalh khawhnak
555	aquarium (n.)	nga zuatnak tili , tidil , kuang
556	aqueduct (n.)	tiluannak kahcham
557	Arabic numerals (n., prop.)	Arab namber (1,2,3,4,5,6,7,8,9,10).
558	arable (adj.)	thuan khawhmi, lo i ser khawhmi vawlei.
559	arbiter (n.)	biakhiaktu
560	arbitrament (n.)	biakhiaktu nih a khiahmi bia
561	arbitrary (adj.)	1. ruah setsai lo in mah duh paoh i tuah; 2. aa pehtlaih set lo zongah mah duh paoh i tuah
562	arbitrate (v.)	pahnih karlak i biakhiah
563	arbor (n.)	naidem
564	arc (n.)	aa kuaimi innka.
565	arcade (n.)	cungkhuh a ngeimi lam arch
566	bishop (n.)	bishop ngan bik.
567	archaic (adj.)	hlan lio thil , a hlun cangmi thil a simi; e.g. Archaic words = A hlun cangmi bia, hman set ti lomi bia
568	archeology (n.)	hlan lio thil hlun le khuasakning le vawlei chung i a ummi hna kong cawnnak
569	archer (n.)	thal kah thiam
570	archery (n.)	thal kah thiamnak
571	archipelago (n.)	tikulh aa peh zuahmah in a ummi hna
572	architect (n.)	inn sakning a suai i a tuaktantu
573	architecture (n.)	inn sakning thiamnak
574	archives (n.)	thil kong ttialmi chiahnak hmun; e.g. University archives = University i ttialmi thil vialte chiahnak hmun.
575	Arctic (n., prop.)	Chaklei Pole hrawng ram, Arctic ram.
576	ardent (adv.)	lungthawh , huamnak , zuamnak a ngeimi
577	ardor (n.)	U.S. zuamnak, lungthawhnak, duhnak.
578	ardour (n.)	British. zuamnak, lungthawhnak, duhnak.
579	are (v.)	an si, kan si, an um, kan um
580	area (n.)	hmun a bitkauh , a eria
581	arena (n.)	lentecelhnak hmun nganpi
582	argue (v.)	1. bia i al; 2. thil pakhatkhat kong ruahnak thuk ngaiin chim le ruah
583	argumentative (adj.)	bia al a huam, a duhmi
584	arid (adj.)	a rocarmi hmun
585	arise (v.)	thawh; e.g. Let us arise and sing = Tho u sih law hla sa u sih.
586	aristocracy (n.)	bawi phun nih tlaihmi uknak
587	aristocrat (n.)	bawi phun a simi mi hrinfa
588	arithmetic (n.)	kanaan
589	ark (n.)	1. tilawng; e.g. Noah's Ark = Noah lawng; 2. Judah mi hna nih Pathian he bia an i kamnak an chiahnak kuang.
590	arm (v.)	hriamnam pek; e.g. Soldiers are armed with guns = Ralkap cu meithal kha hriamnam ah pek an si
591	arm (n.)	ban
592	armament (n.)	raltuknak hriamnam
593	armistice (n.)	raltuknak ngol ta chung
594	armor - U.S. 1. pum vennak ca i thir in tuahmi pum khuhnak, thir angki; 2. raltuknak meithal ngan pipi le tthengh (tank).
595	armour (n.)	British. 1. pum vennak ca i thir in tuahmi pum khuhnak, thir angki; 2. raltuknak meithal ngan pipi le tthengh (tank)
596	armpit (n.)	zaktang
597	arms (n.)	hriamnam
598	army (n.)	ralkapbu
599	aroma (n.)	rimhmui
600	aromatic (adj.)	a rim a hmuimi
601	around (adv.)	a velchum in
602	arouse (v.)	lung thawter, thinhunter; e.g. His words aroused my anger = A bia nih ka thin an ka hunter.
603	arrange (v.)	siamrem , ningcang in chiah
604	arrangement (n.)	ningcang in chiahnak , timhtuahnak
605	array (v.)	ral tuk tikah ralkap pawl kha hmailei hoih in artlang in chiah; e.g. The soldiers were arrayed against the enemy = Ralkap pawl kha ral lei hoih in an tlanter hna.
606	arrears (n.)	hnulei a luan cangmi ca i hmuh hnga dingmi tangka
607	arrest (v.)	1. tlaih; palik nih an tlaih; 2. makter, ngolter; e.g. Her words were arrested in mid-sentence = A biachim salingpi ah an ngolter.
608	arrival (n.)	phak; e.g. On his arrival, he was greeted by his children = Inn a phak ah a fale nih an rak don.
609	arrive (v.)	phak; e.g. We arrived at the airport at 6 a.m. = Zinglei suimilam 6 ah vanlawng dinhnak hmun kan phan.
610	arrogant (adj.)	porhlawmi , a ruam a kaimi
611	arrow (n.)	thal , cantiang
612	arrowhead (n.)	thal hmur , cantiang hmur
613	arsenal (n.)	hriamnam an sernak le an khonnak inn
614	arson (n.)	mai in thil siseh , inn siseh duah
615	art (n.)	thil dawh ser thiamnak , hmanthlak suai thiamnak
616	artery (n.)	arteri thihri
617	artesian well (n.)	vawlei chung i cawhmi tikhor
618	arthritis (n.)	hliahhlok fah zawtnak
619	article (n.)	1. thil kong pakhatkhat ttialmi ca; 2. thil pakhat
620	artificial (adj.)	1. serchommi; 2. a taktak a si lomi , a hle a simi
621	artificial insemination (n.)	nu le pa cannak tuah lo i pa ci nu chung i chiah i fapawiter
622	artillery (n.)	meithal ngan pipi , a rit pipi , rangleng in hnuhmi pawl
623	artistic (adj.)	hla lei, lam lei le thil dawh serthiamnak lei i thiamnak ngeih, theih khawhnak ngeih
624	as (adv.)	1. tluk; e.g. She is as pretty as her mother = A nu tluk in aa dawh. 2. tahchunhnak ah, bantuk; e.g. Some work as carpentry is very tiresome = Lehtama rian bantuk hna hi rian har a si; as far as, so far as = tiangah; e.g. As far as I know = Ka hngalh tiangah; just as well; e.g. Since our friends didn't turn up, we may just as well go home = Kan hawile an rat lo caah inn i kan kir zongah a ttha ko lai; e.g. Our fishing expedition was ruined by bad weather. We might just as well have stayed at home = Kan tiva kal cu ruahpi nih a kan rawk, inn ah khan rak um deuh awk men kan rak si. as well as – e.g. He gave me rice as well as salt = Facang a ka pek i cite zong a ka pek chih.
625	as (conj.)	1. caah; e.g. As you do not like chilies, I am not going to give you any = Makphek na duh lo caah kan pe lai lo; e.g. As you are busy now, I shall come later = Atu cu naa manh lo caah hnu deuh ah ka ra te lai. 2. tahchunh-nak; e.g. Asian countries, such as Myanmar, India = Asia ram pawl, tahchunhnak ah Kawlram, India hei ti bantuk; 3. bantukin; e.g. Why is he dressed as a woman = Zeicahdah nu bantukin aa thuamh?; 4. lioah; e.g. As a boy, he lived in Yangon = A ngakchiat lioah Yangon ah a rak um. as good as = A dih tluk a si ko, aa lim dengmang;
626	as (pron.)	ttuanmi; e.g. He is working as a clerk = Cazi rian a ttuan.
627	asbestos (n.)	1. inncung cihnak ca hmanmi thil phun khat; 2. mei khang khawh lomi puan phun khat
628	ascend (v.)	kai , cunglei i kai
629	ascertain (v.)	a si taktak maw si taktak lo ti kha fiang tein zoh; e.g. Ascertain that the door is locked = Innka aa hrenh taktak le taktak lo va zoh tuah.
630	ascetic (n.)	biaknak ruang i duhnak i sum ngai i a nungmi
631	ascetic (adj.)	duhnak i sum ngai i nun
632	ascribe (v.)	chuahter ti i ruah, puh; e.g. He ascribed his failure to bad luck = A sunghnak kah vanchiat ruangah a si tiah a ruah, vanchiat a puh.
633	ash (n.)	vutcam
634	ashamed (adj.)	zahpi , ningzak
635	ashore (adv.)	tiva kam, rili kam
636	ashtray (n.)	kuakdap chiahnak kheng
637	Asia (n., prop.)	Asia ram.
638	Asian (n., prop.)	Asia mi, Asia thil.
639	Asiatic (n., adj., prop.)	Asiami umtuning in a ummi
640	aside (adv.)	khattelei kam i chiah; e.g. He put the book aside = Cuak kha khatlei kam ah a chiah (a rel ti lo); e.g. He turned aside = Khatlei ah aa mer.
641	asinine (adj.)	khacer bantuk, mihrut
642	ask (v.)	1. biahal; 2. man hauh; e.g. You ask too much for it = a man fak tuk na hauh; 3. sawm.
643	askance (adv.)	zumh lo nawn i zoh , ngiat
644	aslant (adv.)	a sir in
645	asleep (adj.)	hngilh , aa hngilh
646	asp (n.)	sivai a ngeimi rul phun khat
647	aspect (n.)	1. muisam; e.g. He is a man of fierce aspect = Amah cu mi muisam ttihnung, hringhro chia a si; 2. kap; e.g. All aspects of the question must be considered = Thil cu a kam kip in kan ruah awk a si.
648	asperity (n.)	thintawi , thinchiat
649	asphalt (n.)	lam phah awk si nak a bangmi
650	aspire (v.)	tum sang; e.g. He aspires to fame = Mi minthang si kha a tum.
651	ass (n.)	laa
652	assail (v.)	1. tuk; e.g. He assails him with a club = Thingtan in a tuk; 2. bia ttha loin ti; e.g. He assails him with bad language = Bia ttha loin a ti.
653	assailant (n.)	mi tutu , mi namtu , mi dotu
654	assassin (n.)	ram uknak kong ah mi a thattu (fial chommi an si deuh tawn)
